collection_slug,event_type,total_price,id,image_url,image_preview_url,image_thumbnail_url,name,buyer_username,buyer_profile_img_url,seller_username,seller_profile_img_url,timestamp
manzcoin-nftz,successful,0.069,20949475,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #150 / 200,,https://storage.googleapis.com/opensea-static/opensea-profile/4.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T23:29:04
manzcoin-nftz,successful,0.069,20740196,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #14 / 200,jsmdfs,https://storage.googleapis.com/opensea-static/opensea-profile/16.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T22:12:04
manzcoin-nftz,successful,0.069,20743114,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #26 / 200,,https://storage.googleapis.com/opensea-static/opensea-profile/17.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:58:39
manzcoin-nftz,successful,0.069,20919970,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #83 / 200,RKFDblue,https://storage.googleapis.com/opensea-static/opensea-profile/19.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:51:59
manzcoin-nftz,successful,0.069,20740226,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #18 / 200,DailyRojo,https://storage.googleapis.com/opensea-static/opensea-profile/2.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:33:06
manzcoin-nftz,successful,0.069,20743251,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #29 / 200,Alex3422,https://storage.googleapis.com/opensea-static/opensea-profile/26.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:19:06
manzcoin-nftz,successful,0.069,20920083,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #86 / 200,ScruffMcGruff,https://storage.googleapis.com/opensea-static/opensea-profile/29.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:18:54
manzcoin-nftz,successful,0.069,20743258,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #30 / 200,Mocexx,https://storage.googleapis.com/opensea-static/opensea-profile/15.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:16:53
manzcoin-nftz,successful,0.069,20743110,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #25 / 200,Gdizzle11,https://storage.googleapis.com/opensea-static/opensea-profile/13.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:14:16
manzcoin-nftz,successful,0.069,20800675,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s250,https://lh3.googleusercontent.com/AAmh6zd_glmKCZNNBqUfQySm0hfTQtHH63yTV1McKXFqtNkxcUkoTxXYwY_1obG39AjEm7WYtIauoqmDmcqNf0OWoXHkRPTA5JEn-w=s128,Manzcoin - #37 / 200,sjackson15,https://storage.googleapis.com/opensea-static/opensea-profile/22.png,themanz,https://storage.googleapis.com/opensea-static/opensea-profile/23.png,2021-04-02T21:09:18
